paper_id,title,year,venue,task,modalities,align_full_hidden,align_layerwise,align_residual_updates,learn_layer_mapping,monotonic_constraint,multi_branch,extra_inference_cost,teacher_frozen,code_available,closest_overlap,novelty_risk,notes,url
E01,BENDR: Using Transformers and a Contrastive Self-Supervised Learning Task to Learn From Massive Amounts of EEG Data,2021,Frontiers in Human Neuroscience,EEG pretraining,EEG,0,0,0,0,0,0,0,NA,1,EEG encoder pretraining,low,Full text and code link checked,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2021.653659/full
E02,MAEEG: Masked Auto-encoder for EEG Representation Learning,2022,NeurIPS TS4H Workshop,EEG pretraining,EEG,0,0,0,0,0,0,0,NA,1,Masked EEG baseline,low,Abstract and method checked,https://arxiv.org/abs/2211.02625
E03,BIOT: Biosignal Transformer for Cross-data Learning in the Wild,2023,NeurIPS,Multi-dataset biosignal pretraining,EEG ECG sensor,0,0,0,0,0,0,0,NA,1,Generic EEG foundation model,low,Proceedings abstract checked,https://proceedings.neurips.cc/paper_files/paper/2023/hash/f6b30f3e2dd9cb53bbf2024402d02295-Abstract.html
E04,Large Brain Model for Learning Generic Representations with Tremendous EEG Data in BCI,2024,arXiv,EEG foundation model,EEG,0,0,0,0,0,0,0,NA,1,EEG foundation model baseline,low,Abstract and official code link checked,https://arxiv.org/abs/2405.18765
E05,EEG2Rep: Enhancing Self-supervised EEG Representation Through Informative Masked Inputs,2024,arXiv,EEG pretraining,EEG,0,0,0,0,0,0,0,NA,1,Latent prediction baseline,low,Abstract and code link checked,https://arxiv.org/abs/2402.17772
E06,EEGPT: Pretrained Transformer for Universal and Reliable Representation of EEG Signals,2024,NeurIPS,EEG foundation model,EEG,1,1,0,0,0,1,0,1,1,Spatiotemporal representation alignment,medium,Proceedings paper checked,https://proceedings.neurips.cc/paper_files/paper/2024/hash/4540d267eeec4e5dbd9dae9448f0b739-Abstract-Conference.html
E07,CBraMod: A Criss-Cross Brain Foundation Model for EEG Decoding,2025,ICLR,EEG foundation model,EEG,0,0,0,0,0,1,0,NA,1,Criss-cross depth structure,low,Official OpenReview paper checked,https://openreview.net/forum?id=NPNUHgHF2w
E08,REVE: A Foundation Model for EEG - Adapting to Any Setup with Large-Scale Pretraining on 25000 Subjects,2025,NeurIPS,EEG foundation model,EEG,0,0,0,0,0,0,0,NA,1,Large heterogeneous pretraining baseline,low,Proceedings paper checked,https://proceedings.neurips.cc/paper_files/paper/2025/hash/20a917f77773ac0fa8bea2bdd6606b66-Abstract-Conference.html
E09,BrainOmni: A Brain Foundation Model for Unified EEG and MEG Signals,2025,NeurIPS,Brain foundation model,EEG MEG,0,0,0,0,0,0,0,NA,1,Cross-device brain pretraining,medium,Paper and official repository checked,https://papers.neurips.cc/paper_files/paper/2025/file/3aef4a18c2646b9d11d9ab4d9bec72c8-Paper-Conference.pdf
E10,CSBrain: A Cross-scale Spatiotemporal Brain Foundation Model for EEG Decoding,2025,NeurIPS,EEG foundation model,EEG,0,1,0,0,0,1,0,NA,0,Cross-scale hierarchy,medium,Proceedings abstract checked,https://proceedings.neurips.cc/paper_files/paper/2025/hash/7e199ad8ae40eb19b2980f61f659cb07-Abstract-Conference.html
A01,Auditory stimulus-response modeling with a match-mismatch task,2021,Journal of Neural Engineering,Match-mismatch,EEG audio,1,0,0,0,0,1,0,NA,1,Target task baseline,medium,Official publication metadata checked,https://orbit.dtu.dk/en/publications/auditory-stimulus-response-modeling-with-a-match-mismatch-task
A02,Decoding of the speech envelope from EEG using the VLAAI deep neural network,2023,Scientific Reports,Speech envelope reconstruction,EEG audio,1,0,0,0,0,1,0,NA,1,Strong subject-independent baseline,medium,Full text and code link checked,https://www.nature.com/articles/s41598-022-27332-2
A03,Eeg2vec: Self-Supervised Electroencephalographic Representation Learning,2023,arXiv,Match-mismatch and regression,EEG audio,1,0,0,0,0,1,0,NA,0,EEG auditory pretraining,medium,Abstract checked,https://arxiv.org/abs/2305.13957
A04,Relate Auditory Speech to EEG by Shallow-Deep Attention-Based Network,2023,ICASSP,Match-mismatch,EEG audio,1,1,0,0,0,1,0,NA,0,Uses shallow and deep features,high,Abstract checked,https://arxiv.org/abs/2303.10897
A05,Enhancing the EEG Speech Match Mismatch Tasks With Word Boundaries,2023,ICASSP,Match-mismatch,EEG audio,1,0,0,0,0,1,0,NA,0,Temporal granularity control,medium,Abstract checked,https://arxiv.org/abs/2307.00366
A06,Decoding speech perception from non-invasive brain recordings,2023,Nature Machine Intelligence,Speech retrieval,EEG MEG audio,1,0,0,0,0,1,0,1,1,Foundation audio representation alignment,high,Paper page and method checked,https://www.nature.com/articles/s42256-023-00714-5
A07,Auditory EEG Decoding Challenge: ICASSP 2023,2023,IEEE Signal Processing Society Data Challenge,Match-mismatch and regression,EEG audio,1,0,0,0,0,1,0,NA,1,Official benchmark and split design,medium,Official challenge and dataset pages checked,https://signalprocessingsociety.org/publications-resources/data-challenges/auditory-eeg-decoding-challenge-icassp-2023
A08,Contrastive representation learning with transformers for robust auditory EEG decoding,2025,Scientific Reports,Match-mismatch and regression,EEG audio,1,0,0,0,0,1,0,NA,0,Contrastive EEG-audio alignment,high,Full text checked,https://www.nature.com/articles/s41598-025-13646-4
A09,BrainECHO: Semantic Brain Signal Decoding through Vector-Quantized Spectrogram Reconstruction,2025,OpenReview preprint,Brain-to-audio decoding,EEG MEG audio,1,0,0,0,0,1,1,1,0,Brain-audio latent alignment,medium,Paper PDF checked; publication status uncertain,https://openreview.net/pdf/be13e0fd8110cf10c1c61b143358b163e55d8ae1.pdf
A10,Joint Text-Audio Alignment for EEG-to-Text Decoding in Chinese Speech Production and Perception,2026,arXiv,EEG-to-text,EEG audio text,1,0,0,0,0,1,0,1,0,Joint audio alignment in EEG,high,Abstract checked; very recent preprint,https://arxiv.org/abs/2607.25626
C01,Learning Transferable Visual Models From Natural Language Supervision,2021,ICML,Vision-language pretraining,image text,1,0,0,0,0,1,0,0,1,Canonical full-state alignment,medium,Proceedings paper checked,https://proceedings.mlr.press/v139/radford21a.html
C02,Scaling Up Visual and Vision-Language Representation Learning With Noisy Text Supervision,2021,ICML,Vision-language pretraining,image text,1,0,0,0,0,1,0,0,0,Large-scale cross-modal alignment,low,Proceedings metadata checked,https://proceedings.mlr.press/v139/jia21b.html
C03,VATT: Transformers for Multimodal Self-Supervised Learning from Raw Video Audio and Text,2021,NeurIPS,Multimodal pretraining,video audio text,1,0,0,0,0,1,0,0,1,Audio cross-modal baseline,medium,Proceedings paper checked,https://proceedings.neurips.cc/paper/2021/hash/cb3213ada48302953cb0f166464ab356-Abstract.html
C04,Geometric Multimodal Contrastive Representation Learning,2022,ICML,Multimodal representation learning,multiple,1,0,0,0,0,1,0,0,1,Geometry rather than coordinate matching,high,Proceedings full abstract checked,https://proceedings.mlr.press/v162/poklukar22a.html
C05,Multi-Modal Alignment Using Representation Codebook,2022,CVPR,Vision-language alignment,image text,1,0,0,0,0,1,0,1,0,Aligns stable cluster geometry,high,Official CVF paper checked,https://openaccess.thecvf.com/content/CVPR2022/html/Duan_Multi-Modal_Alignment_Using_Representation_Codebook_CVPR_2022_paper.html
C06,End-to-end Speech Translation Based on Cross-modal Representation Alignment of Speech and Text,2023,CCL,Speech translation,speech text,1,1,0,0,0,1,0,0,0,Multi-granularity speech-text alignment,high,ACL Anthology page checked,https://aclanthology.org/2023.ccl-1.7/
C07,Multi-Level Cross-Modal Alignment for Speech Relation Extraction,2024,EMNLP,Speech relation extraction,speech text,1,1,0,0,0,1,0,1,0,Multi-level speech-text alignment,high,ACL Anthology page checked,https://aclanthology.org/2024.emnlp-main.668/
C08,Hierarchical Cross-modal Prompt Learning for Vision-Language Models,2025,ICCV,Vision-language adaptation,image text,1,1,0,1,0,1,0,1,1,Learned hierarchical knowledge mapping,high,Official CVF paper checked,https://openaccess.thecvf.com/content/ICCV2025/html/Zheng_Hierarchical_Cross-modal_Prompt_Learning_for_Vision-Language_Models_ICCV_2025_paper.html
C09,M3-JEPA: Multimodal Alignment via Multi-gate MoE based on the Joint-Embedding Predictive Architecture,2025,ICML,Multimodal alignment,multiple,1,0,0,0,0,1,1,1,0,Latent geometry alignment,medium,Proceedings page checked,https://proceedings.mlr.press/v267/lei25b.html
C10,Understanding the Modality Gap: An Empirical Study on the Speech-Text Alignment Mechanism of Large Speech Language Models,2025,EMNLP,Speech-text alignment analysis,speech text,1,1,0,0,0,1,0,NA,0,Layerwise direction and magnitude analysis,high,ACL Anthology page checked,https://aclanthology.org/2025.emnlp-main.262/
R01,TinyBERT: Distilling BERT for Natural Language Understanding,2020,Findings EMNLP,Knowledge distillation,text,1,1,0,0,0,1,0,1,1,Intermediate hidden-state matching,high,ACL Anthology paper checked,https://aclanthology.org/2020.findings-emnlp.372/
R02,MiniLMv2: Multi-Head Self-Attention Relation Distillation for Compressing Pretrained Transformers,2021,Findings ACL,Knowledge distillation,text,0,1,0,0,0,1,0,1,1,Relation geometry matching,high,ACL Anthology paper checked,https://aclanthology.org/2021.findings-acl.188/
